ID,NUM_VOTAVEL,TOTAL_VOTOS,SHARE,ANO,NOME_CANDIDATO,SIGLA_PARTIDO,DESCRICAO_CARGO
1,18622,969,28.1%,1998,JOSINALDO FRANCISCO DA CRUZ,PST,DEPUTADO ESTADUAL
2,45277,336,9.8%,1998,SÉRGIO DE OLIVEIRA CABRAL SANTOS FILHO,PSDB,DEPUTADO ESTADUAL
3,95,250,7.3%,1998,NA,NA,NA
4,96,151,4.4%,1998,NA,NA,NA
5,11193,133,3.9%,1998,ODENIR LAPROVITA VIEIRA,PPB,DEPUTADO ESTADUAL
6,25,127,3.7%,1998,NA,NA,NA
7,45,105,3%,1998,NA,NA,NA
8,12,98,2.8%,1998,NA,NA,NA
9,13,91,2.6%,1998,NA,NA,NA
10,20156,79,2.3%,1998,LEONARDO FARIAS MAGALHÃES,PSC,DEPUTADO ESTADUAL
11,11,40,1.2%,1998,NA,NA,NA
12,12212,39,1.1%,1998,MARIA APARECIDA CAMPOS STRAUS,PDT,DEPUTADO ESTADUAL
13,14120,38,1.1%,1998,JOSÉ NADER JUNIOR,PTB,DEPUTADO ESTADUAL
14,25668,30,0.9%,1998,MANFRIED SANT'ANNA,PFL,DEPUTADO ESTADUAL
15,45622,27,0.8%,1998,JANUALDO BORGES SOUSA,PSDB,DEPUTADO ESTADUAL
16,45210,26,0.8%,1998,CARLOS ROBERTO DE OLIVEIRA,PSDB,DEPUTADO ESTADUAL
17,41223,25,0.7%,1998,MERCI TEIXEIRA DE LACERDA,PSD,DEPUTADO ESTADUAL
18,70101,25,0.7%,1998,DOMINGOS INACIO BRAZÃO,PT do B,DEPUTADO ESTADUAL
19,15,24,0.7%,1998,NA,NA,NA
20,13113,24,0.7%,1998,FRANCISCO RODRIGUES DE ALENCAR FILHO,PT,DEPUTADO ESTADUAL
21,25093,24,0.7%,1998,ELBERTO ELY BRIZOLA DA SILVA,PFL,DEPUTADO ESTADUAL
22,18,22,0.6%,1998,NA,NA,NA
23,25222,22,0.6%,1998,SOLANGE AMARAL,PFL,DEPUTADO ESTADUAL
24,23,21,0.6%,1998,NA,NA,NA
25,25608,21,0.6%,1998,CARLOS DIAS FILHO,PFL,DEPUTADO ESTADUAL
26,25677,21,0.6%,1998,MÔNICA ROSEIRO LEITE,PFL,DEPUTADO ESTADUAL
27,40,20,0.6%,1998,NA,NA,NA
28,56,20,0.6%,1998,NA,NA,NA
